metric,hn,x grad,h0 grad,R grad,b grad
max abs,1.37e+00,2.41e+00,1.84e+00,2.24e-01,7.20e+01
max ref,8.37e+07,1.17e+06,1.37e+04,1.00e+00,1.46e+09
mean abs,2.35e-01,4.25e-01,2.76e-01,3.53e-02,1.15e+01
mean ref,1.70e+06,3.86e+01,3.68e+00,1.00e+00,1.54e+08
