metric,hn,x grad,h0 grad,R grad,b grad
max abs,1.28e+00,3.67e+00,2.61e+00,5.29e+02,8.20e+03
max ref,3.37e+02,3.87e+05,1.88e+03,4.66e+04,1.00e+04
mean abs,8.40e-02,6.53e-01,6.16e-01,4.37e+01,2.50e+03
mean ref,2.17e+00,1.08e+01,3.58e+00,1.49e+01,1.96e+02
