metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,6.79e-03,1.17e-02,6.84e-03,5.28e-03,1.36e-02,7.13e-01,9.48e+00
max ref,3.47e+02,2.18e+02,3.27e+04,6.25e+01,4.51e-02,2.33e+04,1.51e+00
mean abs,8.17e-04,1.28e-03,9.93e-04,9.91e-04,1.60e-03,3.73e-02,6.78e-01
mean ref,3.99e-02,3.40e-02,5.22e-02,3.13e-02,3.67e-03,7.01e-02,9.74e-03
