metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,5.86e-03,7.81e-03,3.91e-03,1.20e+00,7.81e-03,2.12e-01,6.25e-02
max ref,9.98e+04,6.37e+04,1.78e+02,1.32e+05,4.57e-02,1.00e+00,1.51e+01
mean abs,6.10e-04,7.93e-04,6.87e-04,2.49e-01,1.01e-03,3.52e-02,3.91e-03
mean ref,7.20e+01,2.01e+01,4.81e-02,1.29e+01,4.64e-03,1.00e+00,2.58e-02
