metric,hn,x grad,h0 grad,R grad,b grad
max abs,8.24e-01,3.98e+00,7.19e+00,6.88e+02,1.39e+04
max ref,8.23e+07,2.44e+06,8.48e+05,3.42e+08,5.63e+11
mean abs,1.17e-01,6.80e-01,1.02e+00,1.30e+01,2.50e+03
mean ref,1.48e+06,8.75e+00,3.42e+01,3.54e+03,4.56e+09
