metric,hn,x grad,h0 grad,R grad,b grad
max abs,1.37e+00,5.72e-01,8.93e-01,0.00e+00,2.78e+01
max ref,2.89e+04,2.75e+04,1.01e+04,0.00e+00,1.43e+09
mean abs,2.31e-01,1.14e-01,1.51e-01,0.00e+00,7.38e+00
mean ref,8.57e+00,4.94e+00,8.81e-01,0.00e+00,3.07e+08
