metric,hn,x grad,h0 grad,R grad,b grad
max abs,7.54e-01,3.84e+00,3.50e+00,1.31e+02,2.69e+03
max ref,1.82e+03,2.34e+06,9.80e+07,2.05e+09,9.50e+05
mean abs,6.01e-02,6.52e-01,5.90e-01,6.50e+00,6.28e+02
mean ref,1.38e+00,1.66e+01,2.85e+04,1.59e+04,1.33e+03
