metric,hn,x grad,h0 grad,R grad,b grad
max abs,8.23e-01,3.98e+00,7.17e+00,6.89e+02,1.39e+04
max ref,8.23e+07,1.39e+06,1.02e+05,3.41e+08,5.65e+11
mean abs,1.17e-01,6.78e-01,1.02e+00,1.30e+01,2.50e+03
mean ref,1.49e+06,7.21e+00,9.76e+00,3.54e+03,4.59e+09
