metric,hn,x grad,h0 grad,R grad,b grad
max abs,7.89e-01,4.16e+00,3.45e+00,5.16e+02,1.07e+04
max ref,1.82e+03,3.13e+06,1.16e+08,5.03e+09,3.85e+05
mean abs,6.15e-02,6.56e-01,5.82e-01,1.80e+01,2.46e+03
mean ref,1.25e+00,1.28e+01,3.40e+04,2.57e+04,1.15e+03
