metric,hn,x grad,h0 grad,R grad,b grad
max abs,1.38e+00,2.41e+00,6.38e+01,2.25e-01,7.20e+01
max ref,8.55e+07,2.08e+03,1.59e+04,1.00e+00,1.46e+09
mean abs,2.34e-01,4.26e-01,4.94e-01,3.52e-02,1.14e+01
mean ref,1.70e+06,2.84e+00,4.16e+00,1.00e+00,1.54e+08
