metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,4.32e-01,6.48e-01,8.98e-01,2.44e+00,1.73e+00,6.48e+02,2.02e+04
max ref,1.63e+07,2.37e+07,7.18e+06,3.21e+04,1.44e+03,8.35e+08,5.96e+02
mean abs,4.64e-02,9.72e-02,1.20e-01,5.08e-01,2.16e-01,1.24e+01,1.29e+03
mean ref,1.88e+04,9.28e+03,6.12e+00,7.66e+00,9.73e-01,4.67e+03,2.80e+00
