metric,hn,x grad,h0 grad,R grad,b grad
max abs,4.32e-01,1.07e+00,3.53e+00,5.37e+02,6.10e+03
max ref,2.33e+04,2.70e+05,1.38e+04,1.61e+06,1.60e+05
mean abs,6.14e-02,1.56e-01,5.67e-01,1.89e+01,2.14e+03
mean ref,2.75e+00,2.90e+00,3.42e+00,2.28e+01,7.97e+02
