metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,4.30e-01,6.53e-01,8.97e-01,2.43e+00,1.73e+00,6.47e+02,2.03e+04
max ref,1.62e+07,2.57e+07,1.38e+07,7.24e+03,5.17e+04,8.35e+08,1.19e+05
mean abs,4.65e-02,9.70e-02,1.19e-01,5.09e-01,2.16e-01,1.24e+01,1.29e+03
mean ref,1.43e+04,8.63e+03,6.08e+00,6.23e+00,2.60e+00,4.67e+03,6.11e+01
