metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,3.24e-04,4.89e-04,5.25e-04,3.69e-04,4.52e-04,7.49e-02,1.70e+00
max ref,4.45e+01,4.46e+01,9.80e+03,2.14e+01,7.93e-04,9.54e+02,2.60e-01
mean abs,3.45e-05,7.10e-05,7.34e-05,7.23e-05,4.88e-05,3.82e-03,1.19e-01
mean ref,3.39e-03,3.39e-03,4.33e-03,3.16e-03,1.09e-04,4.31e-03,1.09e-03
