metric,hn,x grad,R grad,b grad
max abs,1.37e+00,4.98e-01,0.00e+00,7.81e+00
max ref,6.73e+03,1.89e+03,0.00e+00,4.47e+08
mean abs,2.30e-01,1.14e-01,0.00e+00,1.89e+00
mean ref,7.45e+00,2.86e+00,0.00e+00,7.58e+07
