metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,5.86e-03,7.81e-03,1.17e-02,7.81e-03,2.34e-02,3.50e+00,2.88e+02
max ref,3.32e+01,1.02e+02,2.29e+04,2.69e+03,4.27e-02,2.73e+07,3.92e+00
mean abs,8.13e-04,1.26e-03,1.46e-03,1.43e-03,2.18e-03,4.27e-02,2.92e+01
mean ref,2.92e-02,3.20e-02,7.37e-02,1.15e-01,4.85e-03,1.81e+02,3.49e-02
