metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,4.41e-01,7.34e-01,8.52e-01,2.59e+00,1.66e+00,1.61e+02,4.96e+03
max ref,1.65e+07,3.80e+07,4.96e+05,1.82e+04,7.34e+07,2.35e+08,3.32e+02
mean abs,4.59e-02,9.57e-02,1.18e-01,5.12e-01,2.16e-01,3.70e+00,3.18e+02
mean ref,1.49e+04,8.10e+03,5.50e+00,6.88e+00,2.90e+03,1.31e+03,2.67e+00
