metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,7.81e-03,1.17e-02,1.17e-02,7.81e-03,2.34e-02,1.22e+02,6.27e+03
max ref,6.46e+03,4.16e+03,4.92e+04,1.16e+02,3.61e-02,7.71e+07,9.19e+00
mean abs,8.09e-04,1.26e-03,1.46e-03,1.43e-03,2.20e-03,2.50e-01,8.12e+02
mean ref,2.27e-01,1.61e-01,7.18e-02,4.96e-02,4.85e-03,1.92e+02,1.42e-01
