metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,3.30e-04,4.22e-04,2.07e-04,1.86e-04,1.45e-04,0.00e+00,1.37e-03
max ref,5.63e+01,5.67e+01,7.78e+00,3.55e+00,6.29e-04,0.00e+00,2.30e-01
mean abs,2.86e-05,5.74e-05,3.69e-05,3.63e-05,2.26e-05,0.00e+00,1.16e-04
mean ref,3.82e-03,3.83e-03,2.32e-03,2.21e-03,1.02e-04,0.00e+00,6.85e-04
