metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,1.22e-04,1.95e-03,9.77e-04,9.77e-04,1.95e-03,0.00e+00,9.77e-04
max ref,1.17e-02,7.57e-03,2.16e-01,7.32e-02,4.67e-03,0.00e+00,4.91e-03
mean abs,3.73e-09,7.45e-08,2.81e-07,2.83e-07,5.96e-08,0.00e+00,5.07e-07
mean ref,7.60e-07,9.13e-07,1.82e-05,1.54e-05,1.42e-07,0.00e+00,4.71e-06
