metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,7.19e-03,1.17e-02,6.59e-03,5.21e-03,1.28e-02,3.65e-01,2.42e+00
max ref,4.10e+02,6.18e+02,8.61e+03,1.12e+02,4.27e-02,9.88e+03,2.31e+00
mean abs,8.16e-04,1.28e-03,9.87e-04,9.80e-04,1.60e-03,1.83e-02,1.89e-01
mean ref,5.22e-02,5.46e-02,4.82e-02,3.22e-02,3.67e-03,5.51e-02,1.56e-02
