metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,1.95e-03,7.81e-03,7.81e-03,3.91e-03,7.81e-03,3.50e+00,2.88e+02
max ref,5.09e+00,5.06e+00,3.09e+03,1.10e+03,1.20e-02,1.06e+07,3.86e+00
mean abs,3.15e-05,6.29e-05,5.53e-04,5.42e-04,5.91e-04,3.64e-02,2.92e+01
mean ref,1.74e-03,1.73e-03,2.51e-02,4.66e-02,1.26e-03,1.32e+02,3.22e-02
