metric,hn,x grad,h0 grad,R grad,b grad
max abs,8.45e-01,4.65e+00,5.65e+00,2.80e+03,5.64e+04
max ref,8.45e+07,8.13e+06,1.45e+04,1.31e+09,2.29e+12
mean abs,1.18e-01,6.81e-01,1.02e+00,4.63e+01,1.00e+04
mean ref,1.55e+06,9.19e+00,6.16e+00,1.25e+04,1.84e+10
