metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,4.43e-01,7.36e-01,8.55e-01,2.59e+00,1.66e+00,1.60e+02,4.96e+03
max ref,2.12e+07,2.94e+07,1.30e+06,1.46e+05,1.05e+03,2.36e+08,1.81e+03
mean abs,4.58e-02,9.57e-02,1.18e-01,5.11e-01,2.16e-01,3.70e+00,3.18e+02
mean ref,1.31e+04,5.81e+03,5.60e+00,1.53e+01,9.43e-01,1.32e+03,4.01e+00
