metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,5.86e-03,7.81e-03,3.91e-03,3.91e-03,7.81e-03,0.00e+00,6.25e-02
max ref,2.22e+00,1.00e+00,2.75e+01,3.57e+03,4.79e-02,0.00e+00,1.47e+01
mean abs,6.10e-04,7.93e-04,6.87e-04,6.87e-04,1.01e-03,0.00e+00,3.91e-03
mean ref,1.56e-02,8.12e-03,3.88e-02,2.18e-01,4.64e-03,0.00e+00,2.23e-02
