metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,5.82e-03,8.27e-03,3.07e-03,2.87e-03,5.47e-03,0.00e+00,2.87e-02
max ref,2.65e+00,1.41e+00,1.72e+02,7.14e+01,4.26e-02,0.00e+00,3.50e+00
mean abs,6.32e-04,8.67e-04,5.06e-04,5.19e-04,8.74e-04,0.00e+00,2.46e-03
mean ref,1.58e-02,8.77e-03,3.59e-02,3.43e-02,4.10e-03,0.00e+00,1.13e-02
