metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,3.27e-04,5.42e-04,4.86e-04,3.77e-04,3.16e-04,2.24e-02,4.20e-01
max ref,4.45e+01,4.46e+01,1.48e+03,1.90e+01,6.85e-04,2.05e+02,1.28e-01
mean abs,3.47e-05,7.13e-05,7.30e-05,7.26e-05,4.85e-05,1.27e-03,3.03e-02
mean ref,4.05e-03,4.06e-03,3.81e-03,2.64e-03,1.09e-04,3.04e-03,9.88e-04
