metric,hn,x grad,h0 grad,R grad,b grad
max abs,1.37e+00,5.74e-01,8.91e-01,0.00e+00,2.78e+01
max ref,8.35e+04,9.93e+04,6.53e+07,0.00e+00,1.43e+09
mean abs,2.31e-01,1.14e-01,1.51e-01,0.00e+00,7.38e+00
mean ref,1.02e+01,8.19e+00,6.30e+03,0.00e+00,3.06e+08
