metric,hn,cn,x grad,h0 grad,c0 grad,R grad,b grad
max abs,1.95e-03,7.81e-03,7.81e-03,3.91e-03,7.81e-03,1.22e+02,6.34e+03
max ref,1.51e+01,1.51e+01,1.38e+04,9.00e+01,1.33e-02,5.82e+07,6.97e+00
mean abs,3.27e-05,6.39e-05,5.61e-04,5.49e-04,6.03e-04,2.44e-01,8.16e+02
mean ref,1.95e-03,1.94e-03,2.70e-02,2.27e-02,1.27e-03,1.53e+02,1.39e-01
