metric,hn,x grad,h0 grad,R grad,b grad
max abs,5.59e-01,1.92e+00,1.02e+00,0.00e+00,1.65e+01
max ref,1.00e+00,1.16e+03,3.05e+01,0.00e+00,1.60e+09
mean abs,1.18e-02,4.45e-01,1.80e-01,0.00e+00,2.88e+00
mean ref,7.18e-02,9.06e+00,4.67e-01,0.00e+00,9.86e+07
