metric,hn,x grad,h0 grad,R grad,b grad
max abs,4.32e-01,1.06e+00,3.53e+00,5.44e+02,6.02e+03
max ref,3.38e+03,2.88e+06,2.09e+08,7.25e+09,4.99e+08
mean abs,6.13e-02,1.56e-01,5.66e-01,1.89e+01,2.14e+03
mean ref,1.52e+00,3.89e+00,2.05e+04,5.27e+04,3.26e+05
