metric,hn,x grad,h0 grad,R grad,b grad
max abs,8.48e-01,4.66e+00,5.69e+00,2.80e+03,5.66e+04
max ref,8.44e+07,1.89e+07,1.37e+04,1.31e+09,2.28e+12
mean abs,1.18e-01,6.80e-01,1.02e+00,4.62e+01,1.00e+04
mean ref,1.56e+06,1.19e+01,7.06e+00,1.25e+04,1.84e+10
