metric,hn,x grad,h0 grad,R grad,b grad
max abs,4.22e-01,1.07e+00,3.58e+00,2.03e+03,2.14e+04
max ref,2.85e+06,4.23e+06,1.88e+08,1.49e+10,3.24e+05
mean abs,6.18e-02,1.59e-01,5.66e-01,6.55e+01,7.46e+03
mean ref,8.85e+01,4.34e+00,3.61e+04,7.68e+04,1.32e+03
